**********
Total number of connected components: 41948
**********
Word | # Components | Max Degree :# Vertices w/ Max Degree | Word List w/ Max Degree
absorbed                     |    7 |    2 : 1    | ['engrossed'] 
absorber                     |    2 |    2 : 2    | ['shock', 'sponge'] 
absorbers                    |    2 |    1 : 2    | ['expensive', 'shock'] 
absorption                   |    2 |    1 : 2    | ['retentive', 'sponge'] 
abstain                      |    7 |    2 : 2    | ['avoid', 'fast'] 
abstergo                     |    2 |    1 : 2    | ['conglomeration', 'templars'] 
abstinance                   |    2 |    1 : 2    | ['abbess', 'celibacy'] 
abstinence                   |    2 |    1 : 2    | ['delayed', 'virtue'] 
abstract                     |   30 |    7 : 1    | ['art'] 
abstraction                  |    2 |    1 : 2    | ['concept', 'conjecture'] 
abstractions                 |    2 |    1 : 2    | ['correlations', 'decipher'] 
abstractity                  |    2 |    1 : 2    | ['absurdity', 'folly'] 
abstruse                     |    2 |    1 : 2    | ['opaque', 'profound'] 
absurd                       |   20 |    2 : 3    | ['inane', 'nonsense', 'ridiculous'] 
absurdity                    |   10 |    1 : 10   | ['abstractity', 'anomaly', 'crap', 'creationism', 'foolery', 'futility', 'incongruity', 'ludicrosity', 'nonsense', 'normality'] 
abu                          |    1 |    1 : 1    | ['full'] 
abulia                       |    2 |    1 : 2    | ['apathy', 'spinelessness'] 
abulous                      |    2 |    1 : 2    | ['absolutely', 'tastic'] 
abundance                    |   21 |    2 : 2    | ['plentiful', 'plenty'] 
abundant                     |    9 |    3 : 1    | ['plentiful'] 
abundants                    |    2 |    1 : 2    | ['affluance', 'riches'] 
abunga                       |    2 |    1 : 2    | ['cow', 'mutant'] 
abuse                        |   46 |    8 : 1    | ['substance'] 
abused                       |    1 |    1 : 1    | ['used'] 
abusers                      |    2 |    1 : 2    | ['solvent', 'users'] 
abusive                      |    8 |    1 : 8    | ['bully', 'caring', 'criminal', 'cruel', 'divorce', 'invective', 'mean', 'pushy'] 
abusiveness                  |    2 |    1 : 2    | ['fight', 'yell'] 
abysmal                      |    1 |    1 : 1    | ['dungeons'] 
abyss                        |   32 |    4 : 1    | ['void'] 
